"","x"
"143","https://www.ptt.cc/bbs/HatePolitics/M.1563517050.A.8C3.html"
"144","https://www.ptt.cc/bbs/HatePolitics/M.1563517095.A.08B.html"
"145","https://www.ptt.cc/bbs/HatePolitics/M.1563517113.A.8E6.html"
"146","https://www.ptt.cc/bbs/HatePolitics/M.1563517167.A.54E.html"
"147","https://www.ptt.cc/bbs/HatePolitics/M.1563517186.A.49D.html"
"148","https://www.ptt.cc/bbs/HatePolitics/M.1563517295.A.D31.html"
"149","https://www.ptt.cc/bbs/HatePolitics/M.1563517367.A.9B3.html"
"150","https://www.ptt.cc/bbs/HatePolitics/M.1563517503.A.E74.html"
"151","https://www.ptt.cc/bbs/HatePolitics/M.1563517691.A.CEB.html"
"152","https://www.ptt.cc/bbs/HatePolitics/M.1563517806.A.741.html"
"153","https://www.ptt.cc/bbs/HatePolitics/M.1563518005.A.A2B.html"
"154","https://www.ptt.cc/bbs/HatePolitics/M.1563518093.A.20C.html"
"155","https://www.ptt.cc/bbs/HatePolitics/M.1563518093.A.A1F.html"
"156","https://www.ptt.cc/bbs/HatePolitics/M.1563518140.A.DEB.html"
"157","https://www.ptt.cc/bbs/HatePolitics/M.1563518292.A.2E3.html"
"158","https://www.ptt.cc/bbs/HatePolitics/M.1563518308.A.9BB.html"
"159","https://www.ptt.cc/bbs/HatePolitics/M.1563518449.A.3B0.html"
"160","https://www.ptt.cc/bbs/HatePolitics/M.1563518474.A.E5F.html"
"161","https://www.ptt.cc/bbs/HatePolitics/M.1563518625.A.1D6.html"
"162","https://www.ptt.cc/bbs/HatePolitics/M.1563518668.A.8A6.html"
"163","https://www.ptt.cc/bbs/HatePolitics/M.1563518732.A.496.html"
"164","https://www.ptt.cc/bbs/HatePolitics/M.1563518768.A.BA7.html"
"165","https://www.ptt.cc/bbs/HatePolitics/M.1563518850.A.CB1.html"
"166","https://www.ptt.cc/bbs/HatePolitics/M.1563518861.A.789.html"
"167","https://www.ptt.cc/bbs/HatePolitics/M.1563518907.A.B10.html"
"168","https://www.ptt.cc/bbs/HatePolitics/M.1563518967.A.AE0.html"
"169","https://www.ptt.cc/bbs/HatePolitics/M.1563519076.A.09D.html"
"170","https://www.ptt.cc/bbs/HatePolitics/M.1563519115.A.39A.html"
"171","https://www.ptt.cc/bbs/HatePolitics/M.1563519265.A.852.html"
"172","https://www.ptt.cc/bbs/HatePolitics/M.1563519295.A.4AA.html"
"173","https://www.ptt.cc/bbs/HatePolitics/M.1563519382.A.4D4.html"
"174","https://www.ptt.cc/bbs/HatePolitics/M.1563519421.A.700.html"
"175","https://www.ptt.cc/bbs/HatePolitics/M.1563519581.A.E1E.html"
"176","https://www.ptt.cc/bbs/HatePolitics/M.1563519716.A.0CE.html"
"177","https://www.ptt.cc/bbs/HatePolitics/M.1563519766.A.0B0.html"
"178","https://www.ptt.cc/bbs/HatePolitics/M.1563520016.A.080.html"
"179","https://www.ptt.cc/bbs/HatePolitics/M.1563520098.A.729.html"
"180","https://www.ptt.cc/bbs/HatePolitics/M.1563520224.A.8F1.html"
"181","https://www.ptt.cc/bbs/HatePolitics/M.1563520243.A.D62.html"
"182","https://www.ptt.cc/bbs/HatePolitics/M.1563520493.A.393.html"
"183","https://www.ptt.cc/bbs/HatePolitics/M.1563520612.A.0F4.html"
"184","https://www.ptt.cc/bbs/HatePolitics/M.1563520619.A.9B6.html"
"185","https://www.ptt.cc/bbs/HatePolitics/M.1563520655.A.7DF.html"
"186","https://www.ptt.cc/bbs/HatePolitics/M.1563520660.A.232.html"
"187","https://www.ptt.cc/bbs/HatePolitics/M.1563520918.A.1F2.html"
"188","https://www.ptt.cc/bbs/HatePolitics/M.1563520939.A.C5E.html"
"189","https://www.ptt.cc/bbs/HatePolitics/M.1563520952.A.265.html"
"190","https://www.ptt.cc/bbs/HatePolitics/M.1563521014.A.617.html"
